App	KeyStrokes	MouseClicks	Duration
ms-teams	530	130	390.5681824
chrome	286	198	592.9190231
explorer	99	444	5427.3951896
dragon center	0	2	0.3498769
revit	1476	1612	2374.3948051
avpui	0	0	4.0549436
rhino	20	85	153.0210259
rhino_en-us_7.38.24338.17001	0	0	51.1339243
bootstrapper	0	0	3.4149817
searchhost	10	4	6.424685
applicationframehost	10	8	9.480096
msiexec	0	3	8.9751899
systemsettings	0	1	4.4236283
olk	214	67	116.1393614
devenv	0	7	55.9920659
winword	333	71	94.048036
obs64	0	2	23.8941024
rhiexec	0	0	3.4031642
dwm	0	0	22.7475294
notepad++	10	3	10.6350412
windowsterminal	1	0	2.6692934
shellexperiencehost	0	0	0.0793834
snippingtool	0	12	22.3504454
pickerhost	26	3	11.9170316
photos	14	1	5.3993968
excel	45	89	97.570594
acrobat	0	1	1.7661554
msedgewebview2	0	0	5.7793428
